eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
17,4,UFC 10 - The Tournament,7/12/96,Brian Johnston,Scott Fiedler,win,loss,137,138,Submission,1,2:25,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,3,UFC 10 - The Tournament,7/12/96,Mark Hall,Don Frye,loss,win,118,124,TKO,1,10:21,3,2,1,2,0,6,5,1,1,0,1,1,0,1,0,0,2,3,0,0,1,0
17,2,UFC 10 - The Tournament,7/12/96,Felix Mitchell,Sam Adkins,loss,win,45,122,Decision,1,10:00,1,0,1,0,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
17,1,UFC 10 - The Tournament,7/12/96,Geza Kalman,Dieuseul Berto,win,loss,115,2007,TKO,1,5:57,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,8,UFC 11 - The Proving Ground,9/20/96,David Abbott,Scott Ferrozzo,loss,win,110,128,Decision,1,15:00,3,2,1,2,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0
18,7,UFC 11 - The Proving Ground,9/20/96,Mark Coleman,Brian Johnston,win,loss,136,137,Submission,1,2:20,3,3,0,3,0,2,1,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0
18,6,UFC 11 - The Proving Ground,9/20/96,Fabio Gurgel,Jerry Bohlander,loss,win,146,127,Decision,1,15:00,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18,5,UFC 11 - The Proving Ground,9/20/96,David Abbott,Sam Adkins,win,loss,110,122,Submission,1,2:06,4,2,2,0,1,3,2,1,2,0,0,2,0,1,0,1,1,0,1,0,1,0
18,4,UFC 11 - The Proving Ground,9/20/96,Reza Nasri,Brian Johnston,loss,win,145,137,TKO,1,0:28,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0
18,3,UFC 11 - The Proving Ground,9/20/96,Mark Coleman,Julian Sanchez,win,loss,136,144,Submission,1,0:45,4,4,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
