eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time
22,5,UFC 14 - Showdown,7/27/97,Mark Kerr,Moti Horenstein,win,loss,71,139,TKO,1,2:22
22,4,UFC 14 - Showdown,7/27/97,Kevin Jackson,Todd Butler,win,loss,172,173,Submission,1,1:27
22,3,UFC 14 - Showdown,7/27/97,Joe Moreira,Yuri Vaulin,win,loss,126,171,Decision,1,15:00
22,2,UFC 14 - Showdown,7/27/97,Alex Hunter,Sam Fulton,win,loss,170,141,TKO,1,2:22
22,1,UFC 14 - Showdown,7/27/97,Tony Fryklund,Donnie Chappell,win,loss,168,169,Submission,1,1:31
23,7,UFC 15 - Collision Course,10/17/97,Maurice Smith,David Abbott,win,loss,175,110,Submission,1,8:08
23,6,UFC 15 - Collision Course,10/17/97,Mark Kerr,Dwayne Cason,win,loss,71,177,Submission,1,0:53
23,5,UFC 15 - Collision Course,10/17/97,Randy Couture,Vitor Belfort,win,loss,166,156,TKO,1,8:16
23,4,UFC 15 - Collision Course,10/17/97,Dave Beneteau,Carlos Barreto,win,loss,56,180,Decision,1,15:00
23,3,UFC 15 - Collision Course,10/17/97,Mark Kerr,Greg Stott,win,loss,71,179,KO,1,0:17
23,2,UFC 15 - Collision Course,10/17/97,Dwayne Cason,Houston Dorr,win,loss,177,178,TKO,1,3:43
23,1,UFC 15 - Collision Course,10/17/97,Alex Hunter,Harry Moskowitz,win,loss,170,176,Decision,1,10:00
25,8,UFC 16 - Battle in the Bayou,3/13/98,Frank Shamrock,Igor Zinoviev,win,loss,284,191,KO,1,0:22
25,7,UFC 16 - Battle in the Bayou,3/13/98,Tsuyoshi Kosaka,Kimo Leopoldo,win,loss,190,43,Decision,1,15:00
25,6,UFC 16 - Battle in the Bayou,3/13/98,Pat Miletich,Chris Brennan,win,loss,188,64,Submission,1,9:02
25,5,UFC 16 - Battle in the Bayou,3/13/98,Jerry Bohlander,Kevin Jackson,win,loss,127,172,Technical,1,10:23
25,4,UFC 16 - Battle in the Bayou,3/13/98,Pat Miletich,Townsend Saunders,win,loss,188,189,Decision,1,15:00
25,3,UFC 16 - Battle in the Bayou,3/13/98,Mikey Burnett,Eugenio Tadeu,win,loss,186,187,TKO,1,9:46
25,2,UFC 16 - Battle in the Bayou,3/13/98,Chris Brennan,Courtney Turner,win,loss,64,285,Submission,1,4:20
25,1,UFC 16 - Battle in the Bayou,3/13/98,LaVerne Clark,Josh Stuart,win,loss,184,185,TKO,1,1:15
26,9,UFC 17 - Redemption,5/15/98,Frank Shamrock,Jeremy Horn,win,loss,284,202,Submission,1,16:28
26,8,UFC 17 - Redemption,5/15/98,Pete Williams,Mark Coleman,win,loss,201,136,KO,1,12:38
26,7,UFC 17 - Redemption,5/15/98,Dan Henderson,Carlos Newton,win,loss,195,7,Decision,1,15:00
26,6,UFC 17 - Redemption,5/15/98,David Abbott,Hugo Duarte,win,loss,110,200,TKO,1,0:43
26,5,UFC 17 - Redemption,5/15/98,Mike Van Arsdale,Joe Pardo,win,loss,198,199,Submission,1,11:01
26,4,UFC 17 - Redemption,5/15/98,Carlos Newton,Bob Gilstrap,win,loss,7,197,Submission,1,0:52
26,3,UFC 17 - Redemption,5/15/98,Dan Henderson,Allan Goes,win,loss,195,196,Decision,1,15:00
26,2,UFC 17 - Redemption,5/15/98,Andre Roberts,Harry Moskowitz,win,loss,194,176,KO,1,3:15
26,1,UFC 17 - Redemption,5/15/98,Chuck Liddell,Noe Hernandez,win,loss,192,193,Decision,1,12:00
27,8,UFC 17.5 - Ultimate Brazil,10/16/98,Frank Shamrock,John Lober,win,loss,284,210,Submission,1,7:40
27,7,UFC 17.5 - Ultimate Brazil,10/16/98,Vitor Belfort,Wanderlei Silva,win,loss,156,209,TKO,1,0:44
27,6,UFC 17.5 - Ultimate Brazil,10/16/98,Pedro Rizzo,David Abbott,win,loss,208,110,KO,1,8:07
27,5,UFC 17.5 - Ultimate Brazil,10/16/98,Pat Miletich,Mikey Burnett,win,loss,188,186,Decision,1,21:00
27,4,UFC 17.5 - Ultimate Brazil,10/16/98,Tsuyoshi Kosaka,Pete Williams,win,loss,190,201,Decision,1,15:00
27,3,UFC 17.5 - Ultimate Brazil,10/16/98,Ebenezer Fontes Braga,Jeremy Horn,win,loss,207,202,Submission,1,3:27
27,2,UFC 17.5 - Ultimate Brazil,10/16/98,Tulio Palhares,Adriano Santos,win,loss,205,206,TKO,1,9:00
27,1,UFC 17.5 - Ultimate Brazil,10/16/98,Cesar Marcussi,Paulo Santos,win,loss,203,204,TKO,1,0:00
28,7,UFC 18 - Road to the Heavyweight Title,1/8/99,Bas Rutten,Tsuyoshi Kosaka,win,loss,214,190,TKO,1,14:15
28,6,UFC 18 - Road to the Heavyweight Title,1/8/99,Pat Miletich,Jorge Patino,win,loss,188,1015,Decision,1,21:00
28,5,UFC 18 - Road to the Heavyweight Title,1/8/99,Pedro Rizzo,Mark Coleman,win,loss,208,136,Decision,1,15:00
28,4,UFC 18 - Road to the Heavyweight Title,1/8/99,Tito Ortiz,Jerry Bohlander,win,loss,158,127,TKO,1,14:31
28,3,UFC 18 - Road to the Heavyweight Title,1/8/99,Mikey Burnett,Townsend Saunders,win,loss,186,189,Decision,1,15:00
28,2,UFC 18 - Road to the Heavyweight Title,1/8/99,Evan Tanner,Darrell Gholar,win,loss,212,213,Submission,1,7:57
28,1,UFC 18 - Road to the Heavyweight Title,1/8/99,LaVerne Clark,Frank Caracci,win,loss,184,211,Submission,1,6:52
29,7,UFC 19 - Ultimate Young Guns,3/5/99,Tito Ortiz,Guy Mezger,win,loss,158,14,TKO,1,9:56
29,6,UFC 19 - Ultimate Young Guns,3/5/99,Gary Goodridge,Andre Roberts,win,loss,129,194,Submission,1,0:43
29,5,UFC 19 - Ultimate Young Guns,3/5/99,Jeremy Horn,Chuck Liddell,win,loss,202,192,Technical,1,12:00
29,4,UFC 19 - Ultimate Young Guns,3/5/99,Kevin Randleman,Maurice Smith,win,loss,162,175,Decision,1,15:00
29,3,UFC 19 - Ultimate Young Guns,3/5/99,Evan Tanner,Valeri Ignatov,win,loss,212,216,TKO,1,2:58
29,2,UFC 19 - Ultimate Young Guns,3/5/99,Pete Williams,Jason Godsey,win,loss,201,215,Submission,1,1:46
29,1,UFC 19 - Ultimate Young Guns,3/5/99,Sione Latu,Joey Roberts,win,loss,9977,1629,TKO,1,N/A
30,7,UFC 20 - Battle for the Gold,5/7/99,Bas Rutten,Kevin Randleman,win,loss,214,162,Decision,1,21:00
30,6,UFC 20 - Battle for the Gold,5/7/99,Pedro Rizzo,Tra Telligman,win,loss,208,157,KO,1,4:30
30,5,UFC 20 - Battle for the Gold,5/7/99,Pete Williams,Travis Fulton,win,loss,201,80,Submission,1,6:28
30,4,UFC 20 - Battle for the Gold,5/7/99,Wanderlei Silva,Tony Petarra,win,loss,209,221,KO,1,2:53
30,3,UFC 20 - Battle for the Gold,5/7/99,Marcelo Mello,Dave Roberts,win,loss,219,220,TKO,1,1:23
30,2,UFC 20 - Battle for the Gold,5/7/99,LaVerne Clark,Fabiano Iha,win,loss,184,218,TKO,1,1:31
30,1,UFC 20 - Battle for the Gold,5/7/99,Ron Waterman,Chris Condo,win,loss,217,287,TKO,1,0:28
31,8,UFC 21 - Return of the Champions,7/16/99,Maurice Smith,Marco Ruas,win,loss,175,120,TKO,1,5:00
31,7,UFC 21 - Return of the Champions,7/16/99,Pat Miletich,Andre Pederneiras,win,loss,188,227,TKO,2,2:20
31,6,UFC 21 - Return of the Champions,7/16/99,Jeremy Horn,Daiju Takase,win,loss,202,226,TKO,1,4:41
31,5,UFC 21 - Return of the Champions,7/16/99,Paul Jones,Flavio Luiz Moura,win,loss,224,225,Submission,1,4:20
31,4,UFC 21 - Return of the Champions,7/16/99,Tsuyoshi Kosaka,Tim Lajcik,win,loss,190,223,TKO,2,5:00
31,3,UFC 21 - Return of the Champions,7/16/99,Eugene Jackson,Royce Alger,win,loss,222,163,KO,2,1:19
31,2,UFC 21 - Return of the Champions,7/16/99,Andre Roberts,Ron Waterman,win,loss,194,217,KO,1,2:51
31,1,UFC 21 - Return of the Champions,7/16/99,Travis Fulton,David Dodd,win,loss,80,81,Decision,2,5:00
32,8,UFC 22 - There Can Be Only One Champion,9/24/99,Frank Shamrock,Tito Ortiz,win,loss,284,158,Submission,4,4:42
32,7,UFC 22 - There Can Be Only One Champion,9/24/99,Tim Lajcik,Ron Waterman,draw,draw,223,217,Draw,3,5:00
32,6,UFC 22 - There Can Be Only One Champion,9/24/99,Jeremy Horn,Jason Godsey,win,loss,202,215,Submission,1,2:08
32,5,UFC 22 - There Can Be Only One Champion,9/24/99,Brad Kohler,Steve Judson,win,loss,181,233,KO,1,0:30
32,4,UFC 22 - There Can Be Only One Champion,9/24/99,Chuck Liddell,Paul Jones,win,loss,192,224,TKO,1,3:53
32,3,UFC 22 - There Can Be Only One Champion,9/24/99,Matt Hughes,Valeri Ignatov,win,loss,232,216,Decision,3,5:00
32,2,UFC 22 - There Can Be Only One Champion,9/24/99,John Lewis,Lowell Anderson,win,loss,230,231,TKO,3,0:13
32,1,UFC 22 - There Can Be Only One Champion,9/24/99,Jens Pulver,Alfonso Alcarez,draw,draw,228,229,Draw,2,5:00
34,7,UFC 24 - First Defense,3/10/00,Tedd Williams,Steve Judson,win,loss,248,233,TKO,1,3:23
34,6,UFC 24 - First Defense,3/10/00,Lance Gibson,Jermaine Andre,win,loss,246,247,KO,3,3:35
34,5,UFC 24 - First Defense,3/10/00,Dave Menne,Fabiano Iha,win,loss,245,218,Decision,3,5:00
34,4,UFC 24 - First Defense,3/10/00,Bob Cook,Tiki Ghosn,win,loss,244,88,Submission,2,1:29
34,3,UFC 24 - First Defense,3/10/00,Jens Pulver,David Velasquez,win,loss,228,243,TKO,2,2:41
34,2,UFC 24 - First Defense,3/10/00,Scott Adams,Ian Freeman,win,loss,241,242,Submission,1,3:09
34,1,UFC 24 - First Defense,3/10/00,Shonie Carter,Brad Gumm,win,loss,239,240,Decision,2,5:00
35,6,UFC 25 - Ultimate Japan 3,4/14/00,Tito Ortiz,Wanderlei Silva,win,loss,158,209,Decision,5,5:00
35,5,UFC 25 - Ultimate Japan 3,4/14/00,Murilo Bustamante,Yoji Anjo,win,loss,253,182,Submission,2,0:31
35,4,UFC 25 - Ultimate Japan 3,4/14/00,Sanae Kikuta,Eugene Jackson,win,loss,252,222,Submission,1,4:38
35,3,UFC 25 - Ultimate Japan 3,4/14/00,Ron Waterman,Satoshi Honma,win,loss,217,251,Decision,3,5:00
35,2,UFC 25 - Ultimate Japan 3,4/14/00,Ikuhisa Minowa,Joe Slick,win,loss,250,238,TKO,3,2:02
35,1,UFC 25 - Ultimate Japan 3,4/14/00,LaVerne Clark,Koji Oishi,win,loss,184,249,Decision,3,5:00
36,8,UFC 26 - Ultimate Field of Dreams,6/9/00,Kevin Randleman,Pedro Rizzo,win,loss,162,208,Decision,5,5:00
